gender,height,anomaly,anomaly_score
Male,73.84701702,Normal,5.396872973961742e-06
Male,68.78190405,Normal,0.13921386457644475
Male,71.7309784,Normal,0.09634242899137135
Male,69.88179586,Normal,0.1182545605886105
Male,67.25301569,Normal,0.14841531243089412
Male,68.78508125,Normal,0.14086424197081038
Male,68.34851551,Normal,0.14400350208348045
Male,67.01894966,Normal,0.14788202643622916
Male,63.45649398,Normal,0.13402455132302177
Male,71.19538228,Normal,0.09477939793614032
Male,71.64080512,Normal,0.0960974231499091
Male,64.76632913,Normal,0.14555066707775732
Male,69.2830701,Normal,0.13432837463211056
Male,69.24373223,Normal,0.13174728038024947
Male,67.6456197,Normal,0.1443908638275015
Male,72.41831663,Normal,0.06652232757437615
Male,63.97432572,Normal,0.13533928865396144
Male,69.6400599,Normal,0.12222555505234572
Male,67.93600485,Normal,0.14785390264748527
Male,67.91505019,Normal,0.14874442120408338
Male,69.43943987,Normal,0.1350304401544648
Male,66.14913196,Normal,0.14329458532836076
Male,67.89319634,Normal,0.14994750268923934
Male,68.1440328,Normal,0.14720486576070257
Male,69.08963143,Normal,0.12260665492010614
Male,72.80084352,Normal,0.05051556209178254
Male,67.42124228,Normal,0.15017852977781032
Male,68.49641536,Normal,0.14136662942861739
Male,68.61811055,Normal,0.13665598679756313
Male,71.52821604,Normal,0.10063045778428825
Male,69.1801611,Normal,0.12817809256994406
Male,69.57720237,Normal,0.12307008550161086
Male,70.40092889,Normal,0.10970801763028165
Male,69.07617117,Normal,0.12473544566304229
Male,67.19352328,Normal,0.1466399169030549
Male,65.80731565,Normal,0.1444947856882886
Male,64.30418789,Normal,0.13145724257413616
Male,67.97433623,Normal,0.14343259480779635
Male,72.18942596,Normal,0.08501916752774463
Male,65.27034552,Normal,0.15406393485690073
Male,66.09017738,Normal,0.14195155922341185
Male,67.51032152,Normal,0.14603275370281055
Male,70.10478626,Normal,0.11711455342843319
Male,68.25183644,Normal,0.14722892583899555
Male,72.17270912,Normal,0.08700069762989471
Male,69.17985762,Normal,0.1279536639015646
Male,72.87036015,Normal,0.054119820577433364
Male,64.78258298,Normal,0.1475270514875856
Male,70.18354989,Normal,0.11247004470177258
Male,68.49145025,Normal,0.14124848338110424
Male,67.33083088,Normal,0.15271141126605547
Male,66.99094408,Normal,0.14642340804103687
Male,66.4995499,Normal,0.12965272420759838
Male,68.35305665,Normal,0.1418336177200893
Male,70.77445907,Normal,0.10861250545124568
Male,71.21592367,Normal,0.0893866998134557
Male,70.01336535,Normal,0.118160004226604
Male,71.40318222,Normal,0.09650033679617831
Male,69.55200509,Normal,0.12455779969474273
Male,73.81853456,Normal,0.005001041630113945
